@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "MATCH_MS"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le       0.00051099895
@ CHARGE           %le                  -1
@ ENERGY           %le                 175
@ PC               %le                 175
@ GAMMA            %le         342466.4571
@ KBUNCH           %le                   1
@ BCURRENT         %le     8.005341188e-13
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                  14
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 840
@ ALFA             %le     2.846397386e-06
@ ORBIT5           %le                  -0
@ GAMMATR          %le         592.7236198
@ Q1               %le         3.500115051
@ Q2               %le         3.500140009
@ DQ1              %le         -3.18318505
@ DQ2              %le        -3.183206921
@ DXMAX            %le        0.2146217545
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         102.0238925
@ BETYMAX          %le         102.0235481
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.1102458088
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.07.00 Linux 64"
@ DATE             %08s "05/02/22"
@ TIME             %08s "22.11.08"
* NAME                                S               BETX               BETY                 DX                 DY 
$ %s                                %le                %le                %le                %le                %le 
 "MATCH_MS$START"                     0        102.0228962        17.64106301       0.2146100915                  0
 "JC_FODO_ARC$START"                   0        102.0228962        17.64106301       0.2146100915                  0
 "MQF1"                            0.25        101.7198133        17.69722641          0.2143126                  0
 "DRIFT_0"                            1        98.42320323        18.33567992       0.2108679679                  0
 "MSF1"                               2        93.74240068        19.37540878       0.2058505367                  0
 "DRIFT_1"                            3        89.19645296        20.54999407       0.2008331055                  0
 "MB1"                              9.5        62.93484845        31.47192388       0.1702037953                  0
 "DRIFT_2"                           16        42.37081981        48.09153773       0.1442038107                  0
 "MB2"                             22.5        27.50441389        70.40883561       0.1221718309                  0
 "DRIFT_3"                           29        18.33565356        98.42381753       0.1047692011                  0
 "MQD1"                              30        17.64104132        102.0235481       0.1030126546                  0
 "DRIFT_4"                           31        18.33566792        98.42381753       0.1049455677                  0
 "MSD1"                              32        19.37540795        93.74296514       0.1074943791                  0
 "DRIFT_5"                           33        20.55000507        89.19696917       0.1100431905                  0
 "MB3"                             39.5        31.47201602         62.9351208        0.128594473                  0
 "DRIFT_6"                           46        48.09169537        42.37095647       0.1517751023                  0
 "MB4"                             52.5        70.40901764        27.50447617       0.1789237331                  0
 "DRIFT_7"                           59        98.42393167        18.33567992        0.210701685                  0
 "MQF2"                           59.75        101.7205632        17.69722641       0.2142789465                  0
 "JC_FODO_ARC$END"                   60        102.0236474        17.64106301       0.2146208108                  0
 "JC_DSR$START"                      60        102.0236474        17.64106301       0.2146208108                  0
 "AMQF1"                          60.25         101.720563        17.69722641       0.2143233319                  0
 "DRIFT_8"                           61         98.4239307        18.33567992       0.2108786098                  0
 "AMSF1"                             62        93.74309608        19.37540878       0.2058610372                  0
 "DRIFT_9"                           63        89.19711684        20.54999407       0.2008434646                  0
 "AMBDS1"                          69.5        62.93534424        31.47192388       0.1692212494                  0
 "DRIFT_10"                          76        42.37120175        48.09153773       0.1399137189                  0
 "AMBDS2"                          82.5        27.50470106        70.40883561        0.112590207                  0
 "DRIFT_11"                          89         18.3358479        98.42381753      0.08758138708                  0
 "AMQD1"                             90        17.64122239        102.0235481      0.08439425154                  0
 "DRIFT_12"                          91        18.33584764        98.42381753      0.08422974645                  0
 "AMSD1"                             92        19.37558715        93.74296514      0.08456635994                  0
 "DRIFT_13"                          93        20.55018244        89.19696917      0.08490297343                  0
 "AMBDS3"                          99.5        31.47215836         62.9351208      0.08808297342                  0
 "DRIFT_14"                         106        48.09177988        42.37095647      0.09357766847                  0
 "AMBDS4"                         112.5        70.40904062        27.50447617       0.1010563872                  0
 "DRIFT_15"                         119         98.4239278        18.33567992       0.1108497994                  0
 "AMQF2"                         119.75        101.7205592        17.69722641        0.111927722                  0
 "AMQF1_1"                       120.25         101.720559        17.69722641       0.1114242461                  0
 "DRIFT_16"                         121        98.42392681        18.33567992        0.108842893                  0
 "AMSF1_1"                          122        93.74309235        19.37540878       0.1051806884                  0
 "DRIFT_17"                         123        89.19711328        20.54999407       0.1015184838                  0
 "AMBDS1_1"                       129.5        62.93534172        31.47192388      0.07870616606                  0
 "DRIFT_18"                         136        42.37120013        48.09153773      0.05820854453                  0
 "AMBDS2_1"                       142.5        27.50470021        70.40883561      0.03969495059                  0
 "DRIFT_19"                         149        18.33584768        98.42381753      0.02349605787                  0
 "AMQD1_1"                          150        17.64122227        102.0235481      0.02128739665                  0
 "DRIFT_20"                         151        18.33584759        98.42381753      0.01984115624                  0
 "AMSD1_1"                          152        19.37558719        93.74296514      0.01851853399                  0
 "DRIFT_21"                         153        20.55018256        89.19696917      0.01719591174                  0
 "AMBDS3_1"                       159.5        31.47215914         62.9351208     0.009590883345                  0
 "DRIFT_22"                         166         48.0917815        42.37095647     0.004300560016                  0
 "AMBDS4_1"                       172.5        70.40904327        27.50447617    0.0009942701807                  0
 "DRIFT_23"                         179        98.42393167        18.33567992    2.686506525e-06                  0
 "AMQF2_1"                       179.75        101.7205632        17.69722641    2.732444154e-06                  0
 "JC_DSR$END"                       180        102.0236474        17.64106301    2.736910637e-06                  0
 "MARK_ENDDS"                       180        102.0236474        17.64106301    2.736910637e-06                  0
 "JC_MSL$START"                     180        102.0236474        17.64106301    2.736910637e-06                  0
 "EMQFMS1"                       180.25         101.720563        17.69722641     2.73322402e-06                  0
 "DRIFT_24"                         195        45.16408638        45.16381888    1.799771419e-06                  0
 "EMQDMS1"                          210        17.64127386        102.0235481    8.515426811e-07                  0
 "DRIFT_25"                         225        45.16418438        45.16381888    5.033062726e-07                  0
 "EMQFMS2"                       239.75        101.7208073        17.69722641     1.65542132e-07                  0
 "EMQFMS3"                       240.25        101.7208075        17.69722641    1.521356514e-07                  0
 "DRIFT_26"                         255        45.16419395        45.16381888    -2.96797356e-07                  0
 "EMQDMS2"                          270        17.64128258        102.0235481   -7.579971621e-07                  0
 "DRIFT_27"                         285        45.16409595        45.16381888   -1.753277635e-06                  0
 "EMQFMS4"                       299.75        101.7205632        17.69722641   -2.732460238e-06                  0
 "EMQFMS5"                       300.25         101.720563        17.69722641   -2.733238801e-06                  0
 "DRIFT_28"                         315        45.16408638        45.16381888   -1.799742582e-06                  0
 "EMQDMS3"                          330        17.64127386        102.0235481   -8.514690339e-07                  0
 "DRIFT_29"                         345        45.16418439        45.16381888   -5.031359235e-07                  0
 "EMQFMS6"                       359.75        101.7208073        17.69722641   -1.652766451e-07                  0
 "JC_MSL$END"                       360        102.0238924        17.64106301   -1.588099099e-07                  0
 "MARK_FODOS_SS"                    360        102.0238924        17.64106301   -1.588099099e-07                  0
 "JC_FODO_SS$START"                 360        102.0238924        17.64106301   -1.588099099e-07                  0
 "CMQFS1"                        360.25        101.7208075        17.69722641   -1.518700889e-07                  0
 "DRIFT_30"                         375        45.16419395        45.16381888    2.969722197e-07                  0
 "CMQDS1"                           390        17.64128257        102.0235481    7.580798911e-07                  0
 "DRIFT_31"                         405        45.16409594        45.16381888     1.75332652e-06                  0
 "CMQFS2"                        419.75        101.7205632        17.69722641    2.732476296e-06                  0
 "JC_FODO_SS$END"                   420        102.0236474        17.64106301    2.736941523e-06                  0
 "JC_FODO_SS$START"                 420        102.0236474        17.64106301    2.736941523e-06                  0
 "CMQFS1"                        420.25         101.720563        17.69722641    2.733253557e-06                  0
 "DRIFT_32"                         435        45.16408639        45.16381888    1.799713728e-06                  0
 "CMQDS1"                           450        17.64127386        102.0235481    8.513953785e-07                  0
 "DRIFT_33"                         465         45.1641844        45.16381888    5.029655696e-07                  0
 "CMQFS2"                        479.75        101.7208073        17.69722641    1.650111567e-07                  0
 "JC_FODO_SS$END"                   480        102.0238924        17.64106301    1.585439876e-07                  0
 "JC_MSR$START"                     480        102.0238924        17.64106301    1.585439876e-07                  0
 "EMQFMS7"                       480.25        101.7208075        17.69722641     1.51604525e-07                  0
 "DRIFT_34"                         495        45.16419395        45.16381888   -2.971470805e-07                  0
 "EMQDMS4"                          510        17.64128257        102.0235481    -7.58162613e-07                  0
 "DRIFT_35"                         525        45.16409594        45.16381888   -1.753375388e-06                  0
 "EMQFMS8"                       539.75        101.7205632        17.69722641   -2.732492329e-06                  0
 "EMQFMS9"                       540.25         101.720563        17.69722641   -2.733268287e-06                  0
 "DRIFT_36"                         555        45.16408639        45.16381888   -1.799684857e-06                  0
 "EMQDMS5"                          570        17.64127387        102.0235481   -8.513217152e-07                  0
 "DRIFT_37"                         585         45.1641844        45.16381888    -5.02795211e-07                  0
 "EMQFMS10"                      599.75        101.7208073        17.69722641   -1.647456667e-07                  0
 "EMQFMS11"                      600.25        101.7208076        17.69722641   -1.513389596e-07                  0
 "DRIFT_38"                         615        45.16419395        45.16381888    2.973219386e-07                  0
 "EMQDMS6"                          630        17.64128257        102.0235481    7.582453278e-07                  0
 "DRIFT_39"                         645        45.16409593        45.16381888     1.75342424e-06                  0
 "EMQFMS12"                      659.75        101.7205632        17.69722641    2.732508335e-06                  0
 "JC_MSR$END"                       660        102.0236474        17.64106301    2.736972306e-06                  0
 "JC_DSL$START"                     660        102.0236474        17.64106301    2.736972306e-06                  0
 "BMQF1"                         660.25         101.720563        17.69722641    2.733282991e-06                  0
 "DRIFT_40"                         661        98.42393069        18.33567992    2.689665334e-06                  0
 "BMSF1"                            662        93.74309606        19.37540878    2.626093236e-06                  0
 "DRIFT_41"                         663        89.19711683        20.54999407    2.562521139e-06                  0
 "BMBDS1"                         669.5        62.93534425        31.47192388    0.0009941662842                  0
 "DRIFT_42"                         676        42.37120176        48.09153773     0.004300476209                  0
 "BMBDS2"                         682.5        27.50470107        70.40883561     0.009590819626                  0
 "DRIFT_43"                         689        18.33584791        98.42381753      0.01719586811                  0
 "BMQD1"                            690        17.64122241        102.0235481      0.01862633165                  0
 "DRIFT_44"                         691        18.33584766        98.42381753      0.02072390836                  0
 "BMSD1"                            692        19.37558717        93.74296514      0.02293631216                  0
 "DRIFT_45"                         693        20.55018246        89.19696917      0.02514871597                  0
